timeSec,trackE,trackF,trackG,A_mode,A_rg,A_az,A_el,B_mode,B_rg,B_az,B_el,C_mode,C_rg,C_az,Cel
1.060,3135932.9883225,-5444223.71411355,1106672.91986869,28,30053.0,0.064091850421437,10.0504855595457,1004,30053.0,105.96340313117,0.00351247385032,1004,30053.0,0.000960846242428,2.00567834895553
1.080,3135933.03421402,-5444214.31455201,1106780.60482495,28,30054.0,0.000477293291904,9.93474288065393,1004,30054.0,108.132258500777,-0.010707257072705,1004,30054.0,-0.009597285084701,2.02661776185054
1.100,3135933.2603831,-5444203.86337074,1106889.70679572,28,30055.0,0.051980199844124,10.0006313110476,1004,30055.0,110.135069338443,-0.002401112037494,1004,30055.0,-0.004050390718847,2.02181436890934
1.120,3135932.28344787,-5444194.22793024,1107000.16190494,28,30056.0,-0.117297766537396,9.96506471537524,1004,30056.0,112.083570982475,-0.017439787107008,1004,30056.0,-0.005025637091646,2.02022033598531
1.140,3135932.96530689,-5444183.79206447,1107113.79149719,28,30057.0,-0.006496353420309,10.0086650477674,1004,30057.0,114.154617745643,-0.005915942244271,1004,30057.0,-0.002607746761969,2.02047736111964
1.160,3135932.9291387,-5444174.63217954,1107228.7496743,28,30058.0,-0.011199681788467,9.90611389251631,1004,30058.0,116.130577169337,-0.004524520029346,1004,30058.0,-0.00842082033851,2.01546389264922
1.180,3135932.19404574,-5444164.15572966,1107345.16544494,28,30059.0,-0.085267690852789,9.97528400131536,1004,30059.0,118.059489311236,-0.00701288485466,1004,30059.0,-0.003256818492222,2.00948862460163
1.200,3135932.99401867,-5444154.04948544,1107463.97453949,28,30060.0,0.107385566231046,9.98787558022864,1004,30060.0,119.931120456331,0.019170853020643,1004,30060.0,-0.001731384722809,1.98550639484307
1.220,3135933.33322776,-5444144.14227655,1107585.31537805,28,30061.0,0.127711670332185,9.97263921231082,1004,30061.0,121.981461725601,0.01605619967078,1004,30061.0,-0.002823303468136,1.99218963474329
1.240,3135932.9033664,-5444134.51291588,1107708.08797983,28,30062.0,0.052902634320865,9.93886097583125,1004,30062.0,123.988434954203,0.006490027419348,1004,30062.0,-0.004416234848051,1.99826723697647
1.260,3135932.81938097,-5444123.85844974,1107833.28061474,28,30063.0,0.019955778461774,9.99934291584142,1004,30063.0,126.041602829399,0.000336506969622,1004,30063.0,-0.001673785524015,2.00582186296114
1.280,3135932.5805611,-5444114.70832436,1107960.84001032,28,30064.0,-0.090538080583062,9.91593307099583,1004,30064.0,128.179649297267,-0.017265832754139,1004,30064.0,-0.006112201197485,2.0249993077697
1.300,3135931.07848657,-5444104.25925392,1108090.2991456,28,30065.0,-0.388218888130155,9.95122993342598,1004,30065.0,130.405335255923,-0.053455623787552,1004,30065.0,-0.005573191510464,2.05987547192629
1.320,3135931.24893613,-5444094.38323868,1108221.6340518,28,30066.0,-0.325136253750917,9.94171577379157,1004,30066.0,132.382468271277,-0.03841682371459,1004,30066.0,-0.005206161552671,2.0453976881314
1.340,3135931.46425776,-5444083.73538403,1108353.77560601,28,30067.0,-0.117105229122265,10.0064020928492,1004,30067.0,134.116136639846,0.00117560365792,1004,30067.0,-0.000588113668769,2.00114436634707
1.360,3135931.89483685,-5444074.76210756,1108488.61569365,28,30068.0,0.002603247631044,9.93121134443447,1004,30068.0,136.006323221213,0.017562229630258,1004,30068.0,-0.002737141547446,1.98386082931496
1.380,3135932.59704195,-5444064.1773331,1108626.11563086,28,30069.0,0.09229413295744,9.97360697673993,1004,30069.0,138.00729435584,0.023209157812921,1004,30069.0,-0.001055822382283,1.98137798988383
1.400,3135932.01834773,-5444054.67066193,1108764.83379365,28,30070.0,0.022925977248513,9.94008765674249,1004,30070.0,140.014299436706,0.013454440870506,1004,30070.0,-0.00247913084994,1.98918591249388
